Header,NTDS_Page,Definition,Timing,Type,Usage,One_Hot_Grouping,Y
inc_key,,,,,,,
SEX,12,The patient's sex.,1,1,1,,
SEX_BIU,12,The patient's sex.,1,1,0,,
AGEyears,9,The patient's age at the time of injury (best approximation).,1,3,1,,
AMERICANINDIAN,10,The patient's race.,1,1,0,1,
ASIAN,10,The patient's race.,1,1,0,1,
BLACK,10,The patient's race.,1,1,0,1,
PACIFICISLANDER,10,The patient's race.,1,1,0,1,
RACEOTHER,10,The patient's race.,1,1,0,1,
WHITE,10,The patient's race.,1,1,0,1,
RACE_NA,10,The patient's race.,1,1,0,1,
RACE_UK,10,The patient's race.,1,1,0,1,
ETHNICITY,11,The patient's ethnicity.,1,1,0,,
ETHNICITY_BIU,11,The patient's ethnicity.,1,1,0,,
WORKRELATED,17,Indication of whether the injury occurred during paid employment.,1,1,0,,
WORKRELATED_BIU,17,Indication of whether the injury occurred during paid employment.,1,1,0,,
PTOCCUPATIONALINDUSTRY,18,The occupational industry associated with the patient's work environment.,1,2,0,,
PTOCCUPATIONALINDUSTRY_BIU,18,The occupational industry associated with the patient's work environment.,1,2,0,,
PATIENTSOCCUPATION,19,The occupation of the patient.,2,2,0,,
PATIENTSOCCUPATION_BIU,19,The occupation of the patient.,2,2,0,,
PLACEOFINJURYCODE,21,Place of occurrence external cause code used to describe the place/site/location of the injury event (Y92.X).,1,2,0,,
PLACEOFINJURYCODE_BIU,21,Place of occurrence external cause code used to describe the place/site/location of the injury event (Y92.X).,1,2,0,,
PRIMARYECODEICD10,20,External cause code used to describe the mechanism (or external factor) that caused the injury event.,1,2,0,,
PRIMARYECODEICD10_BIU,20,External cause code used to describe the mechanism (or external factor) that caused the injury event.,1,2,0,,
ADDITIONALECODE1,22,Additional external cause code used in conjunction with the primary external cause code if multiple external cause codes are required to describe the injury event.,1,4,0,,
ADDITIONALECODE1_BIU,22,Additional external cause code used in conjunction with the primary external cause code if multiple external cause codes are required to describe the injury event.,1,2,0,,
