Header,HumanReadable
SEX,Male Sex
AGEyears,Age (years)
PROTDEV_NONE,Protective Device: None
PROTDEV_LAP_BELT,Protective Device: Lap Belt
PROTDEV_PER_FLOAT,Protective Device: Personal Flotation Device
PROTDEV_PROTECT_GEAR,Protective Device: Protective Gear
PROTDEV_EYE_PROTECT,Protective Device: Eye Protection
PROTDEV_CHILD_RESTRAINT,Protective Device: Child Restraint
PROTDEV_HELMET,Protective Device: Helmet
PROTDEV_AIRBAG_PRESENT,Protective Device: Airbag Present
PROTDEV_PROTECT_CLOTH,Protective Device: Protective Clothing
PROTDEV_SHOULDER_BELT,Protective Device: Shoulder Belt
PROTDEV_OTHER,Protective Device: Other
PROTDEV_NA,Protective Device: Not Applicable
PROTDEV_UK,Protective Device: Unknown
AIRBAG_NOTDEPLOYED,Airbag: Not Deployed
AIRBAG_DEPLOYED_FRNT,Airbag: Front Deployed
AIRBAG_DEPLOYED_SIDE,Airbag: Side Deployed
AIRBAG_DEPLOYED_OTHER,Airbag: Other Location Deployed
AIRBAG_DEPLOYED_NA,Airbag: Not Applicable
AIRBAG_DEPLOYED_UK,Airbag: Unknown
TRANSPORTMODE,Transport Mode to Hospital
EMSSBP,EMS SBP
EMSSBP_BIU,EMS SBP (Not Recorded Reason)
EMSPULSERATE,EMS Pulse Rate
EMSPULSERATE_BIU,EMS Pulse Rate (Not Recorded Reason)
EMSRESPIRATORYRATE,EMS Respiratory Rate
EMSRESPIRATORYRATE_BIU,EMS Respiratory Rate (Not Recorded Reason)
EMSPULSEOXIMETRY,EMS Pulse Oximetry (SpO2)
EMSPULSEOXIMETRY_BIU,EMS Pulse Oximetry (Not Recorded Reason)
EMSGCSEYE,EMS GCS Eye
EMSGCSEYE_BIU,EMS GCS Eye (Not Recorded Reason)
EMSGCSMOTOR,EMS GCS Motor
EMSGCSMOTOR_BIU,EMS GCS Motor (Not Recorded Reason)
EMSGCSVERBAL,EMS GCS Verbal
EMSGCSVERBAL_BIU,EMS GCS Verbal (Not Recorded Reason)
EMSTOTALGCS,EMS Total GCS
EMSTOTALGCS_BIU,EMS Total GCS (Not Recorded Reason)
PREHOSPITALCARDIACARREST,Prehospital Cardiac Arrest
TCCGCSLE13,Triage Criteria: GCS 13 or Less
TCCSBPLT30,Triage Criteria: Low SBP
TCC10RR29,Triage Criteria: Respiratory Rate Under 10 or Over 29
TCCPEN,Triage Criteria: Penetrating Injury
TCCCHEST,Triage Criteria: Chest Wall Instability
TCCLONGBONE,Triage Criteria: Two or More Long Bone Fractures
TCCCRUSHED,Triage Criteria: Crushed/Degloved/Mangled Extremity
TCCAMPUTATION,Triage Criteria: Amputation Proximal to Wrist or Ankle
TCCPELVIC,Triage Criteria: Pelvic Fracture
TCCSKULLFRACTURE,Triage Criteria: Open or Depressed Skull Fracture
TCCPARALYSIS,Triage Criteria: Paralysis
TCC_NA,Triage Criteria: None Documented
TCC_UK,Triage Criteria: Unknown
VPOFALLADULT,Triage: Fall Over 20 Feet (Adult)
VPOFALLCHILD,Triage: Fall Over 10 Feet or 2-3x Height (Child)
VPOCRASHINTRUSION,Triage: Vehicle Intrusion
VPOCRASHEJECT,Triage: Ejection from Vehicle
VPOCRASHDEATH,Triage: Death in Same Vehicle
VPOCRASHTELEMETRY,Triage: High-Risk Vehicle Telemetry
VPOAUTOPEDIMPACT,Triage: Auto vs Pedestrian/Cyclist Impact
VPOMOTORCYCLECRASH,Triage: Motorcycle Crash
VPO65SBP110,Triage: Age Over 65 with SBP Under 110
VPOANTICOAGULANT,Triage: Anticoagulant Use
VPOPREGNANCY20WKS,Triage: Pregnancy Over 20 Weeks
VPOBURNS,Triage: Burns
VPOTRAUMABURNS,Triage: Burns with Trauma
VPO_NA,Triage (Provider Judgment): Not Applicable
VPO_UK,Triage (Provider Judgment): Unknown
MECHANISM,Injury Mechanism
TRAUMATYPE,Trauma Type
nfti_positive,NFTI Positive (Any Criteria Met)
TRANSPORTMODE_1.0,Transport Mode: Ground Ambulance
TRANSPORTMODE_2.0,Transport Mode: Helicopter Ambulance
TRANSPORTMODE_3.0,Transport Mode: Fixed-Wing Ambulance
EMSSBP_BIU_1.0,EMS SBP: N/A
EMSSBP_BIU_2.0,EMS SBP: Not Documented
EMSSBP_BIU___MISSING__,EMS SBP: Missing
EMSPULSERATE_BIU_1.0,EMS Pulse Rate: N/A
EMSPULSERATE_BIU_2.0,EMS Pulse Rate: Not Documented
EMSPULSERATE_BIU___MISSING__,EMS Pulse Rate: Missing
EMSRESPIRATORYRATE_BIU_1.0,EMS Respiratory Rate: N/A
EMSRESPIRATORYRATE_BIU_2.0,EMS Respiratory Rate: Not Documented
EMSRESPIRATORYRATE_BIU___MISSING__,EMS Respiratory Rate: Missing
EMSPULSEOXIMETRY_BIU_1.0,EMS Pulse Oximetry: N/A
EMSPULSEOXIMETRY_BIU_2.0,EMS Pulse Oximetry: Not Documented
EMSPULSEOXIMETRY_BIU___MISSING__,EMS Pulse Oximetry: Missing
EMSGCSEYE_1.0,EMS GCS Eye: 1
