ICD_COUNTRY,ICDDIAGNOSISCODE,Mechanism,Intent,TraumaType,HIERARCHY
US,V21.9XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V22.0XXA,MVT Other,Unintentional,Blunt,
US,V22.1XXA,MVT Other,Unintentional,Blunt,
US,V22.2XXA,MVT Other,Unintentional,Blunt,
US,V22.3XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V22.4XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V22.5XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V22.9XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V23.0XXA,MVT Other,Unintentional,Blunt,
US,V23.1XXA,MVT Other,Unintentional,Blunt,
US,V23.2XXA,MVT Other,Unintentional,Blunt,
US,V23.3XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V23.4XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V23.5XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V23.9XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V24.0XXA,MVT Other,Unintentional,Blunt,
US,V24.1XXA,MVT Other,Unintentional,Blunt,
US,V24.2XXA,MVT Other,Unintentional,Blunt,
US,V24.3XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V24.4XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V24.5XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V24.9XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V25.0XXA,MVT Other,Unintentional,Blunt,
US,V25.1XXA,MVT Other,Unintentional,Blunt,
US,V25.2XXA,MVT Other,Unintentional,Blunt,
US,V25.3XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V25.4XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V25.5XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V25.9XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V26.0XXA,MVT Other,Unintentional,Blunt,
US,V26.1XXA,MVT Other,Unintentional,Blunt,
US,V26.2XXA,MVT Other,Unintentional,Blunt,
US,V26.3XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V26.4XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V26.5XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V26.9XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V27.0XXA,MVT Other,Unintentional,Blunt,
US,V27.1XXA,MVT Other,Unintentional,Blunt,
US,V27.2XXA,MVT Other,Unintentional,Blunt,
US,V27.3XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V27.4XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V27.5XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V27.9XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V28.0XXA,MVT Other,Unintentional,Blunt,
US,V28.1XXA,MVT Other,Unintentional,Blunt,
US,V28.2XXA,MVT Other,Unintentional,Blunt,
US,V28.3XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V28.4XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V28.5XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V28.9XXA,MVT Motorcyclist,Unintentional,Blunt,
US,V29.00XA,MVT Other,Unintentional,Blunt,
US,V29.09XA,MVT Other,Unintentional,Blunt,
US,V29.10XA,MVT Other,Unintentional,Blunt,
US,V29.19XA,MVT Other,Unintentional,Blunt,
US,V29.20XA,MVT Other,Unintentional,Blunt,
US,V29.29XA,MVT Other,Unintentional,Blunt,
US,V29.3XXA,MVT Other,Unintentional,Blunt,
US,V29.40XA,MVT Motorcyclist,Unintentional,Blunt,
